INT=21.07ºC PT1=19.09ºC PT2=838.71ºC
distance,temperature
"-48.028","24.039"
"-47.774","24.069"
"-47.520","24.084"
"-47.266","24.080"
"-47.011","24.086"
"-46.757","24.096"
"-46.503","24.110"
"-46.249","24.077"
"-45.995","24.050"
"-45.740","24.081"
"-45.486","24.129"
"-45.232","24.150"
"-44.978","24.138"
"-44.724","24.118"
"-44.469","24.111"
"-44.215","24.130"
"-43.961","24.168"
"-43.707","24.144"
"-43.453","24.091"
"-43.198","24.069"
"-42.944","24.082"
"-42.690","24.113"
"-42.436","24.136"
"-42.182","24.126"
"-41.927","24.119"
"-41.673","24.130"
"-41.419","24.121"
"-41.165","24.097"
"-40.911","24.084"
"-40.656","24.097"
"-40.402","24.106"
"-40.148","24.111"
"-39.894","24.134"
"-39.640","24.137"
"-39.385","24.124"
"-39.131","24.140"
"-38.877","24.170"
"-38.623","24.147"
"-38.369","24.121"
"-38.114","24.132"
"-37.860","24.180"
"-37.606","24.242"
"-37.352","24.263"
"-37.098","24.258"
"-36.844","24.294"
"-36.589","24.321"
"-36.335","24.274"
"-36.081","24.218"
"-35.827","24.179"
"-35.573","24.183"
"-35.318","24.221"
"-35.064","24.239"
"-34.810","24.217"
"-34.556","24.172"
"-34.302","24.159"
"-34.047","24.199"
"-33.793","24.246"
"-33.539","24.281"
"-33.285","24.316"
"-33.031","24.316"
"-32.776","24.282"
"-32.522","24.265"
"-32.268","24.251"
"-32.014","24.260"
"-31.760","24.296"
"-31.505","24.334"
"-31.251","24.336"
"-30.997","24.333"
"-30.743","24.312"
"-30.489","24.301"
"-30.234","24.322"
"-29.980","24.158"
"-29.726","23.848"
"-29.472","23.981"
"-29.218","24.695"
"-28.963","25.515"
"-28.709","26.036"
"-28.455","25.818"
"-28.201","25.230"
"-27.947","24.056"
"-27.692","22.395"
"-27.438","21.358"
"-27.184","21.401"
"-26.930","21.527"
"-26.676","21.321"
"-26.421","21.068"
"-26.167","20.986"
"-25.913","20.983"
"-25.659","20.989"
"-25.405","21.036"
"-25.150","21.037"
"-24.896","20.996"
"-24.642","20.958"
"-24.388","20.959"
"-24.134","20.964"
"-23.879","20.975"
"-23.625","20.984"
"-23.371","21.006"
"-23.117","21.027"
"-22.863","21.039"
"-22.608","21.081"
"-22.354","21.071"
"-22.100","21.038"
"-21.846","21.047"
"-21.592","21.073"
"-21.337","21.067"
"-21.083","21.046"
"-20.829","21.049"
"-20.575","21.050"
"-20.321","21.062"
"-20.066","21.063"
"-19.812","21.070"
"-19.558","21.060"
"-19.304","21.048"
"-19.050","21.059"
"-18.795","21.100"
"-18.541","21.129"
"-18.287","21.093"
"-18.033","21.028"
"-17.779","20.996"
"-17.524","21.043"
"-17.270","21.101"
"-17.016","21.090"
"-16.762","21.056"
"-16.508","21.074"
"-16.253","21.094"
"-15.999","21.107"
"-15.745","21.088"
"-15.491","21.024"
"-15.237","21.000"
"-14.982","21.057"
"-14.728","21.122"
"-14.474","21.147"
"-14.220","21.128"
"-13.966","21.132"
"-13.711","21.122"
"-13.457","21.123"
"-13.203","21.153"
"-12.949","21.141"
"-12.695","21.125"
"-12.440","21.122"
"-12.186","21.128"
"-11.932","21.112"
"-11.678","21.055"
"-11.424","21.063"
"-11.169","21.097"
"-10.915","21.109"
"-10.661","21.100"
"-10.407","21.082"
"-10.153","21.053"
"-9.898","21.081"
"-9.644","21.117"
"-9.390","21.080"
"-9.136","21.026"
"-8.882","21.005"
"-8.627","21.034"
"-8.373","21.061"
"-8.119","21.064"
"-7.865","21.068"
"-7.611","21.054"
"-7.356","21.082"
"-7.102","21.083"
"-6.848","21.054"
"-6.594","21.055"
"-6.340","21.063"
"-6.085","21.040"
"-5.831","21.029"
"-5.577","21.031"
"-5.323","20.991"
"-5.069","21.004"
"-4.814","21.083"
"-4.560","21.118"
"-4.306","21.050"
"-4.052","20.995"
"-3.798","21.007"
"-3.543","21.045"
"-3.289","21.037"
"-3.035","21.050"
"-2.781","21.064"
"-2.527","21.055"
"-2.272","21.049"
"-2.018","21.122"
"-1.764","21.300"
"-1.510","21.675"
"-1.256","23.550"
"-1.001","27.655"
"-0.747","31.022"
"-0.493","31.077"
"-0.239","28.248"
"0.015","28.859"
"0.270","25.407"
"0.524","24.141"
"0.778","24.213"
"1.032","24.363"
"1.286","24.189"
"1.541","24.023"
"1.795","23.968"
"2.049","23.985"
"2.303","24.037"
"2.557","23.904"
"2.812","23.807"
"3.066","23.789"
"3.320","23.555"
"3.574","23.198"
"3.828","22.936"
"4.083","22.894"
"4.337","22.968"
"4.591","22.901"
"4.845","22.780"
"5.099","22.857"
"5.354","23.133"
"5.608","23.081"
"5.862","22.447"
"6.116","21.766"
"6.370","21.472"
"6.625","21.487"
"6.879","21.541"
"7.133","21.299"
"7.387","20.972"
"7.641","20.755"
"7.896","20.711"
"8.150","20.815"
"8.404","20.938"
"8.658","20.821"
"8.912","20.623"
"9.167","20.557"
"9.421","20.573"
"9.675","20.582"
"9.929","20.649"
"10.183","20.765"
"10.438","20.732"
"10.692","20.615"
"10.946","20.632"
"11.200","20.650"
"11.454","20.602"
"11.709","20.667"
"11.963","20.721"
"12.217","20.725"
"12.471","20.797"
"12.725","20.823"
"12.980","20.694"
"13.234","20.596"
"13.488","20.635"
"13.742","20.663"
"13.996","20.713"
"14.251","20.800"
"14.505","20.801"
"14.759","20.725"
"15.013","20.715"
"15.267","20.686"
"15.522","20.580"
"15.776","20.517"
"16.030","20.577"
"16.284","20.623"
"16.538","20.600"
"16.793","20.657"
"17.047","20.697"
"17.301","20.631"
"17.555","20.628"
"17.809","20.666"
"18.064","20.701"
"18.318","20.817"
"18.572","20.832"
"18.826","20.748"
"19.080","20.733"
"19.335","20.718"
"19.589","20.690"
"19.843","20.770"
"20.097","20.792"
"20.351","20.748"
"20.606","20.791"
"20.860","20.818"
"21.114","20.771"
"21.368","20.776"
"21.622","20.789"
"21.877","20.746"
"22.131","20.710"
"22.385","20.711"
"22.639","20.777"
"22.893","20.911"
"23.148","20.874"
"23.402","20.776"
"23.656","20.775"
"23.910","20.716"
"24.164","20.676"
"24.419","20.727"
"24.673","20.722"
"24.927","20.699"
"25.181","20.786"
"25.435","20.822"
"25.690","20.772"
"25.944","20.787"
"26.198","20.814"
"26.452","20.830"
"26.706","20.896"
"26.961","20.812"
"27.215","20.670"
"27.469","20.675"
"27.723","20.719"
"27.977","20.764"
"28.232","21.008"
"28.486","21.120"
"28.740","20.883"
"28.994","20.626"
"29.248","20.622"
"29.503","20.641"
"29.757","20.738"
"30.011","21.038"
"30.265","21.061"
"30.519","20.894"
"30.774","20.957"
"31.028","21.049"
"31.282","21.065"
"31.536","20.902"
"31.790","20.591"
"32.045","20.222"
"32.299","20.062"
"32.553","19.928"
"32.807","19.590"
"33.061","19.509"
"33.315","19.878"
"33.570","19.907"
"33.824","19.553"
"34.078","19.212"
"34.332","19.085"
"34.586","18.993"
"34.841","18.975"
"35.095","19.008"
"35.349","19.150"
"35.603","19.327"
"35.857","19.316"
"36.112","19.176"
"36.366","19.063"
"36.620","18.940"
"36.874","18.882"
"37.128","18.918"
"37.383","18.876"
"37.637","18.868"
"37.891","18.901"
"38.145","18.935"
"38.399","18.870"
"38.654","18.839"
"38.908","18.937"
"39.162","19.038"
"39.416","18.997"
"39.670","18.999"
"39.925","19.027"
"40.179","19.009"
"40.433","18.989"
"40.687","18.974"
"40.941","18.973"
"41.196","18.988"
"41.450","19.018"
"41.704","19.077"
"41.958","19.065"
"42.212","19.014"
"42.467","19.061"
"42.721","19.088"
"42.975","19.022"
"43.229","18.965"
"43.483","18.941"
"43.738","19.091"
"43.992","19.349"
"44.246","19.341"
"44.500","19.143"
"44.754","19.064"
"45.009","19.012"
"45.263","18.994"
"45.517","19.084"
"45.771","19.154"
"46.025","19.134"
"46.280","19.205"
"46.534","19.384"
"46.788","19.387"
"47.042","19.321"
"47.296","19.334"
"47.551","19.319"
"47.805","19.281"
"48.059","19.116"
"48.313","18.905"
"48.567","18.920"
"48.822","19.122"
"49.076","19.239"
"49.330","19.136"
"49.584","19.059"
"49.838","19.036"
"50.093","18.999"
"50.347","19.049"
"50.601","19.109"
"50.855","19.049"
"51.109","18.959"
"51.364","18.875"
"51.618","18.858"
"51.872","19.023"
"52.126","19.047"
"52.380","18.935"
"52.635","18.888"
"52.889","18.859"
"53.143","18.901"
"53.397","18.969"
"53.651","18.994"
"53.906","19.012"
"54.160","18.999"
"54.414","18.964"
"54.668","18.940"
"54.922","19.000"
"55.177","19.036"
"55.431","19.010"
"55.685","18.971"
"55.939","18.929"
