,12/5/2020 12:30:17 PM,12/5/2020 12:33:17 PM,12/5/2020 12:36:17 PM,12/5/2020 12:39:17 PM,12/5/2020 12:42:18 PM,12/5/2020 12:45:18 PM,12/5/2020 12:48:18 PM,12/5/2020 12:51:18 PM,12/5/2020 12:54:18 PM,12/5/2020 12:57:19 PM,12/5/2020 1:00:19 PM,12/5/2020 1:03:19 PM,12/5/2020 1:06:19 PM,12/5/2020 1:09:19 PM,12/5/2020 1:12:20 PM,12/5/2020 1:15:20 PM,12/5/2020 1:18:20 PM,12/5/2020 1:21:20 PM,12/5/2020 1:24:20 PM,12/5/2020 1:27:20 PM,12/5/2020 1:30:21 PM,12/5/2020 1:33:21 PM,12/5/2020 1:36:21 PM,12/5/2020 1:39:21 PM,12/5/2020 1:42:22 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"57.973","19.236","19.289","19.236","19.167","19.090","19.117","19.092","19.244","19.175","19.142","19.054","18.952","19.068","19.139","18.988","18.946","18.976","19.135","19.114","19.205","19.139","18.887","19.071","19.209","19.087"
"58.227","19.208","19.256","19.201","19.140","19.071","19.086","19.047","19.182","19.103","19.137","19.060","18.943","19.070","19.101","18.961","18.942","18.933","19.103","19.111","19.143","19.133","18.872","19.056","19.198","19.117"
"58.481","19.243","19.227","19.214","19.150","19.063","19.093","19.015","19.160","19.067","19.124","19.039","18.922","19.039","19.085","18.934","18.906","18.930","19.065","19.117","19.105","19.085","18.847","19.009","19.104","19.129"
"58.735","19.234","19.216","19.200","19.121","19.052","19.112","19.016","19.181","19.079","19.126","19.020","18.938","19.044","19.080","18.946","18.882","18.966","19.081","19.138","19.141","19.048","18.845","19.000","19.055","19.188"
"58.990","19.176","19.210","19.156","19.083","18.994","19.068","18.999","19.154","19.062","19.073","18.987","18.939","19.053","19.015","18.933","18.865","18.960","19.070","19.098","19.152","18.986","18.829","19.001","19.034","19.170"
"59.244","19.205","19.223","19.175","19.107","18.984","19.085","19.030","19.195","19.092","19.067","18.966","18.903","19.032","18.994","18.950","18.870","18.974","19.073","19.080","19.161","18.989","18.812","18.992","19.040","19.111"
"59.498","19.209","19.205","19.171","19.131","19.015","19.116","19.043","19.214","19.125","19.071","18.980","18.916","19.004","19.026","18.972","18.852","19.004","19.095","19.113","19.192","19.055","18.830","18.988","19.085","19.063"
"59.752","19.175","19.166","19.108","19.073","19.005","19.068","18.980","19.124","19.085","19.025","18.977","18.962","18.971","19.010","18.944","18.833","18.980","19.073","19.109","19.183","19.061","18.813","18.990","19.084","19.041"
"60.006","19.196","19.215","19.103","19.046","19.008","19.079","18.975","19.131","19.070","19.048","19.031","18.997","18.974","19.019","18.962","18.867","18.984","19.072","19.142","19.187","19.040","18.817","19.030","19.112","19.108"
"60.261","19.226","19.281","19.140","19.108","19.067","19.118","19.014","19.184","19.112","19.128","19.110","19.028","19.040","19.055","19.008","18.922","19.027","19.139","19.217","19.241","19.058","18.880","19.095","19.172","19.200"
"60.515","19.267","19.315","19.182","19.143","19.149","19.130","19.056","19.199","19.153","19.152","19.126","19.041","19.119","19.087","19.001","18.929","19.059","19.184","19.253","19.241","19.069","18.948","19.087","19.168","19.184"
"60.769","19.341","19.373","19.275","19.218","19.224","19.215","19.167","19.297","19.255","19.233","19.176","19.071","19.183","19.169","19.059","19.008","19.104","19.223","19.304","19.279","19.132","19.012","19.146","19.208","19.143"
"61.023","19.325","19.391","19.305","19.272","19.233","19.253","19.227","19.369","19.302","19.317","19.243","19.100","19.188","19.195","19.160","19.089","19.131","19.268","19.339","19.352","19.199","19.049","19.230","19.280","19.244"
"61.277","19.232","19.352","19.221","19.232","19.167","19.200","19.191","19.283","19.199","19.246","19.173","19.065","19.108","19.106","19.136","19.045","19.103","19.206","19.279","19.313","19.170","19.003","19.201","19.266","19.317"
"61.532","19.223","19.350","19.170","19.194","19.108","19.156","19.126","19.200","19.092","19.131","19.080","18.963","19.038","19.052","18.997","18.954","19.032","19.109","19.197","19.199","19.060","18.878","19.107","19.191","19.251"
"61.786","19.252","19.346","19.221","19.207","19.107","19.154","19.114","19.255","19.112","19.142","19.045","18.959","19.050","19.102","18.971","18.936","19.036","19.110","19.229","19.177","19.051","18.876","19.095","19.173","19.305"
"62.040","19.217","19.253","19.210","19.162","19.114","19.093","19.073","19.237","19.103","19.142","19.002","18.971","19.075","19.090","18.981","18.930","19.026","19.130","19.239","19.199","19.066","18.902","19.095","19.158","19.285"
"62.294","19.217","19.217","19.208","19.132","19.099","19.056","19.044","19.202","19.110","19.140","19.002","18.952","19.054","19.034","18.954","18.894","18.960","19.108","19.167","19.220","19.021","18.854","19.064","19.101","19.102"
"62.548","19.235","19.271","19.258","19.153","19.095","19.094","19.091","19.247","19.179","19.174","19.046","18.951","19.049","19.061","19.016","18.920","18.947","19.135","19.183","19.270","19.007","18.857","19.079","19.108","19.094"
"62.803","19.187","19.283","19.236","19.101","19.066","19.112","19.098","19.228","19.177","19.143","19.050","18.952","19.026","19.095","19.047","18.959","18.985","19.136","19.182","19.268","19.030","18.902","19.108","19.132","19.219"
"63.057","19.184","19.273","19.175","19.055","19.052","19.080","19.075","19.185","19.149","19.122","19.036","18.954","18.990","19.062","19.008","18.948","19.030","19.119","19.160","19.210","19.025","18.879","19.079","19.110","19.195"
"63.311","19.265","19.324","19.223","19.153","19.129","19.155","19.150","19.280","19.211","19.195","19.098","19.026","19.058","19.121","19.012","18.967","19.112","19.206","19.266","19.290","19.050","18.919","19.111","19.155","19.129"
"63.565","19.267","19.337","19.270","19.201","19.189","19.200","19.201","19.325","19.250","19.254","19.186","19.080","19.150","19.195","19.053","18.991","19.171","19.297","19.348","19.398","19.126","19.031","19.228","19.246","19.233"
"63.819","19.237","19.318","19.230","19.144","19.161","19.146","19.108","19.231","19.199","19.223","19.143","19.054","19.131","19.161","19.057","18.967","19.143","19.236","19.298","19.349","19.135","19.024","19.207","19.228","19.299"
"64.074","19.294","19.350","19.251","19.197","19.158","19.151","19.101","19.218","19.207","19.230","19.097","19.034","19.100","19.160","19.065","18.986","19.090","19.193","19.306","19.267","19.134","18.974","19.127","19.222","19.252"
"64.328","19.370","19.345","19.325","19.272","19.193","19.201","19.155","19.295","19.269","19.276","19.102","19.059","19.129","19.198","19.110","19.026","19.103","19.225","19.342","19.281","19.132","18.981","19.121","19.265","19.167"
"64.582","19.402","19.292","19.345","19.262","19.204","19.201","19.126","19.339","19.278","19.280","19.095","19.041","19.111","19.167","19.118","19.016","19.123","19.204","19.290","19.285","19.093","18.957","19.119","19.220","19.119"
"64.836","19.408","19.265","19.375","19.245","19.206","19.227","19.120","19.345","19.251","19.268","19.109","19.038","19.095","19.142","19.119","18.990","19.121","19.171","19.274","19.258","19.101","18.924","19.132","19.164","19.162"
"65.090","19.361","19.281","19.366","19.245","19.204","19.270","19.127","19.296","19.211","19.244","19.123","19.034","19.128","19.169","19.118","19.005","19.100","19.206","19.297","19.245","19.134","18.927","19.152","19.210","19.192"
"65.345","19.343","19.327","19.342","19.230","19.195","19.245","19.131","19.274","19.216","19.261","19.092","19.012","19.140","19.187","19.082","19.023","19.091","19.211","19.313","19.252","19.142","18.947","19.151","19.279","19.204"
"65.599","19.369","19.365","19.382","19.258","19.233","19.259","19.212","19.332","19.294","19.344","19.104","19.038","19.143","19.243","19.086","19.065","19.142","19.260","19.362","19.339","19.175","19.001","19.227","19.317","19.254"
"65.853","19.357","19.335","19.384","19.242","19.239","19.268","19.222","19.312","19.293","19.346","19.130","19.076","19.138","19.253","19.113","19.066","19.160","19.299","19.375","19.417","19.204","19.048","19.297","19.311","19.258"
"66.107","19.314","19.302","19.333","19.192","19.194","19.224","19.145","19.233","19.229","19.269","19.122","19.049","19.110","19.180","19.099","19.017","19.122","19.245","19.299","19.396","19.171","19.007","19.260","19.234","19.209"
"66.361","19.343","19.335","19.337","19.230","19.173","19.230","19.159","19.256","19.249","19.266","19.145","19.039","19.130","19.145","19.107","19.031","19.126","19.222","19.302","19.352","19.123","18.991","19.217","19.183","19.197"
"66.616","19.384","19.344","19.342","19.278","19.143","19.214","19.163","19.256","19.248","19.273","19.152","19.050","19.120","19.154","19.110","19.061","19.142","19.229","19.284","19.335","19.094","18.990","19.214","19.199","19.205"
"66.870","19.368","19.322","19.321","19.259","19.123","19.198","19.124","19.240","19.200","19.252","19.132","19.056","19.074","19.160","19.102","19.049","19.112","19.222","19.257","19.327","19.117","18.960","19.203","19.207","19.194"
